x,y
1861913.4150962539,102453.21396137177
1878937.392008121,102292.69200900686
1896117.4234101549,102934.8021286754
1930949.771460607,104379.49969995987
1948605.3771505929,105984.71922360933
1966420.8967552693,107589.96105746753
1984399.298358804,108874.13667638709
2020853.5576814814,109516.22448584686
2039331.1970789104,109195.18058111699
2057977.7864511719,107911.0049621974
2095784.0084096019,105984.71922360933
2114945.1384807974,104218.97774759495
2134282.652736512,102934.8021286754
2153797.2777642044,102613.73591373675
2173488.8059086218,103416.35683066581
2193361.600717429,105021.58750941964
2213399.923960659,106947.86209290336
2233654.7433728566,109034.65862875206
2254078.1267147805,110479.36735514092
2274688.2509074863,111121.45516460069
2295486.8234126996,111121.45516460069
2316473.7769459044,110479.36735514092
2337652.6079554167,109676.75759331622
2359026.728215817,108874.13667638709
2402362.884006074,108553.0927716572
2424328.6769631146,108553.0927716572
2446494.968418319,108874.13667638709
2468864.45266038,109195.18058111699
2491438.471893,109676.75759331622
2514218.896278312,109676.75759331622
2537205.652120381,109034.65862875206
2560402.569036701,107911.0049621974
2583813.3839025944,106305.77428344365
2631279.319860691,104379.49969995987
2655318.600364046,102453.21396137177
2655318.600364046,101329.56029481713
2704117.882237592,100687.47248535734
2728840.8280476094,100847.99443772231
2753791.9367521442,101811.13730701643
2778970.599718553,103095.3240810403
2804377.9016692955,104700.54360468975
2830019.483451764,105984.71922360933
2855895.516773675,106947.86209290336
2882008.3478173222,107589.96105746753
2908359.941077979,107589.96105746753
2934952.4796738336,107429.43910510254
2961788.166684344,106947.86209290336
2988866.915294617,106626.81818817348
2988866.915294617,106305.77428344365
3016194.932240005,105984.71922360933
3043773.244342953,106305.77428344365
3071601.558142487,106626.81818817348
3099686.040258716,106947.86209290336
3128027.745937513,107268.90599763326
3156628.8132909224,107268.90599763326
3185491.394006794,107268.90599763326
3214617.879228026,107268.90599763326
3214617.879228026,107108.38404526829
3214617.879228026,106787.34014053839
3214617.879228026,106305.77428344365
3244010.6819608863,105663.67531887942
3273669.707118043,105021.58750941964
3303599.8959240085,104058.45579522998
3333806.069941215,103095.3240810403
3333806.069941215,102453.21396137177
3364288.4314440447,102292.69200900686
3395049.7442709445,102453.21396137177
3426091.6004563435,103095.3240810403
3426091.6004563435,103737.40073539571
3457418.0094854264,104379.49969995987
3489004.1301960154,104700.54360468975
3520932.00180228,104379.49969995987
3553125.5823934497,102132.18121174633
3927276.0001904983,100687.47248535734
9155979.506758446,99563.81881880276
10495342.714796385,98921.71985423866
11813647.319135983,98921.71985423866
12030648.759082405,99563.81881880276
12705926.005711997,100526.93937788805
13177023.773808027,101490.0822471821
13297504.858843166,102453.21396137177
13790555.982033925,102774.25786610166
15952425.371747537,102453.21396137177
16098169.593558881,101490.0822471821
16245473.646626793,100205.89547315816
16394010.39706856,99242.76375896849
16543916.883173957,98600.67594950878
16847830.939461887,98440.15399714379
17001863.259385023,99242.76375896849
17472498.165547702,100847.99443772231
17632253.932357807,102774.25786610166
17956173.508090753,105342.64256925399
18120338.91741436,107589.96105746753
18453225.03150867,109195.18058111699
18621934.76464162,110479.36735514092
18964022.298701305,103416.35683066581
19137415.473244946,110158.32345041109
19312394.028384827,109195.18058111699
19847001.541775435,106787.34014053839
20211579.52203771,104700.54360468975
20396379.449008234,104058.45579522998
20771063.778947156,103737.40073539571
21152631.112188257,103576.87878303073
21541056.538426697,103416.35683066581
21738180.242137358,103095.3240810403
21936922.878244948,101971.65925938135
22339907.205444,100045.38467589763
22524336.167184286, 98380.01971320465
23022783.348201577, 26751.034122716213
